user_message,bot_response
"hey chatbot",Hi! I am here to help.			
"hi assistant",Hello! What would you like to learn?			
"Hello","Hello! How can I help you?"
"What is an internship?","An internship provides practical experience and helps students understand how their skills are applied in real projects."
"How can I learn coding?","Start with one programming language, practice small problems regularly and build simple projects."
"I am a beginner","That's completely fine. Start with the basics and practice one concept at a time."
"I don't know coding","You can learn coding step by step. Begin with variables, conditions, loops and functions."
"How do I improve programming?","Practice consistently, understand the logic behind programs and build small projects."
"Thank you","You're welcome! I'm happy to help."
"Thanks","You're welcome!"
"That's helpful","I'm glad I could help!"
"Goodbye","Goodbye! Have a great day."
"Bye","Goodbye! See you again."
"See you later","See you later! Take care."
"hello","Hello! How can I help you today?"
"hi there","Hi! Nice to meet you. How can I help?"
"hey","Hey! What would you like to talk about?"
"good afternoon","Good afternoon! How can I help you?"
"good evening","Good evening! What can I help you with?"
"good night","Good night! Take care and have a great day."
"how is your day","I'm doing well, thank you! What would you like to discuss?"
"what are you doing","I'm here and ready to answer your questions."
"are you there","Yes, I'm here. What can I help you with?"
"can we chat","Of course! We can have a casual conversation or talk about a question you have."
"let's talk","Sure! What would you like to talk about?"
"i am bored","Let's fix that! We can talk about movies, technology, programming, or everyday topics."
"i am tired","It sounds like you need a break. Take some time to rest if you can."
"i am happy today","That's great to hear! What made your day happy?"
"i am feeling sad","I'm sorry you're having a difficult moment. If you want, you can tell me what's bothering you."
"thanks","You're welcome!"
"thank you so much","You're very welcome! I'm glad I could help."
"thx","You're welcome!"
"okay thanks","You're welcome! Let me know if you need anything else."
"bye","Goodbye! Have a great day."
"see you later","See you later! Take care."
"talk to you later","Sure! I'll be here when you return."
"how are you","I am good , what about you."

"what can you do","I can answer questions, explain basic concepts, help with common problems, and have simple conversations."
"what should i ask you","You can ask about programming, NLP, your project, movies, customer-service situations, or everyday questions."
"can you help me","Of course. Tell me what you need help with."
"i need some help","Sure. Tell me what the problem is and we can work through it."
"i have a question","Go ahead and ask your question."
"can you explain this","Yes. Tell me what you want explained and I will keep it simple."
"explain it simply","Sure. I can explain it using simple words and a small example."
"i don't understand","No problem. Tell me which part is confusing and I will explain it another way."
"say that again","Sure. Tell me which part you would like me to repeat."
"give me an example","Absolutely. Tell me the topic and I can give you a simple example."
"can you give me a tip","Sure. Start with one small step, practice it, and then build on it."
"what do you think","I can help you compare the options and explain the pros and cons."
"tell me something interesting","A fun fact: computers can process instructions extremely quickly, but they still need clear instructions from people."
"what is your favorite color","I don't have personal preferences, but I can talk about colors or help you choose one."
"do you like music","I don't have personal preferences, but I can discuss music genres and general music topics."
"do you like movies","I don't have personal preferences, but I can discuss movie genres and help you choose one."
"are you a human","No. I'm a chatbot designed to communicate with users through text."
"do you have feelings","I don't have feelings, but I'm designed to communicate in a friendly and helpful way."
"who made you","I'm a chatbot created as part of an NLP-based software project."
"hello?","Hello! How can I help you today?"
"hi?","Hi! What can I help you with?"
"help","Sure. Tell me what you need help with."
"help me","Of course. Tell me what you are trying to do."
"pls help","Of course. Tell me the problem and we can break it down."
"can u help","Yes. Tell me what you need help with."
"what is nlp","NLP stands for Natural Language Processing. It helps computers work with human language."
"nlp meaning","NLP stands for Natural Language Processing. It helps computers process and understand human language."
"what is python","Python is a popular programming language used in web development, automation, data science, AI, and many other areas."
"python meaning","Python is a high-level programming language known for readable syntax and broad use."
"what is ai","AI stands for Artificial Intelligence. It refers to computer systems designed to perform tasks that normally require human intelligence."
"ai meaning","AI means Artificial Intelligence."
"what is machine learning","Machine learning is a part of AI in which systems learn patterns from data and use those patterns to make predictions or decisions."
"what is chatbot","A chatbot is software that communicates with users through text or voice."
"how does a chatbot work","A chatbot receives a user message, processes it, and selects or generates a response."
"what is flask","Flask is a lightweight Python web framework used to build web applications and APIs."
"what is html","HTML stands for HyperText Markup Language. It is used to structure content on web pages."
"what is css","CSS is used to control the appearance and layout of web pages."
"what is javascript","JavaScript is a programming language commonly used to add interactive behavior to web pages."
"what is api","An API is a way for different software components to communicate using defined requests and responses."
"where is my order","You can check your order status using your order or tracking information."
"my order is late","I'm sorry about the delay. Please check the order status and delivery details."
"my package has not arrived","Please check the tracking information first. If there is no update, contact the seller or delivery support."
"my order is missing","Check the delivery status and address details, then contact support if the package cannot be located."
"i got the wrong product","Sorry about that. Keep the order details and contact support for a replacement or return."
